#00)t                         01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)theta                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
0                             -361                          0                             0                             0.04568130935026306           0.0227421786793964            0                             0.497839223592531             1.135959703518257e-28         -3.434478321691853e-16        -8.278269686533293e-11        
0.2                           -360.5206276801998            0.002856510805764065          0.0001004626152182244         0.04138108616456602           -0.02624129947442521          0.09726141861001254           0.467611780468444             -18.0583358292797             -0.6351061728148317           -533.9682042575184            
0.4                           -359.2647409361525            0.003109525708673402          -0.0002876443087549657        0.01793210908592872           0.02791898875867629           0.1887195367383055            0.4432584138188144            -19.55526650244812            1.808945043670548             -1032.457669660555            
0.6                           -357.3605625640917            0.003353815708915148          2.283896813331482e-05         0.07512776201237314           0.08568204197103196           0.2747863610924639            0.4129142556132642            -20.92367941483313            -0.1424870330924734           -1495.325736612072            
0.8                           -354.9294335598795            0.003633716840301135          -0.0003899683317273098        0.02720333255395045           0.07839682522813195           0.3560044322500693            0.3977542395812182            -22.43770922730925            2.408001621879264             -1924.055931539963            
1                             -352.0959888241977            0.003302905083001927          0.0001741825417072338         0.0241588229246772            -0.03886750768985424          0.4326840823849073            0.3800055971644479            -20.14834094507178            -1.062546199595993            -2319.737177207445            
1.2                           -348.9315642830395            0.003516553622081186          -0.0003439403922576019        0.1566506995198665            -0.1069097453956208           0.5050341076142847            0.357608033817912             -21.15895739987057            2.069475087093507             -2683.091439203695            
1.4                           -345.5211465549529            0.003638213672358121          0.0001050827307819011         -0.01671465841388317          -0.06192861976525835          0.5735295353828339            0.3323762983166633            -21.56450140095523            -0.6228487129622959           -3016.898665144291            
1.6                           -341.9467703956809            0.002640155227635423          0.0001774906059744711         -0.05257818466836376          0.004078622861728704          0.6384463375061317            0.3099157165453078            -15.39976302957928            -1.03528506477069             -3323.285650494637            
1.8                           -338.189014305736             0.003684760157802514          -0.0003132268228932991        -0.05045169305010615          -0.01349888697667972          0.7002698648886576            0.3031023968567875            -21.12932742897802            1.796120187366735             -3604.29916811526             
