#00)t                         01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)theta                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
0                             -361                          0                             0                             0.04568130935026306           0.0227421786793964            0                             0.497839223592531             1.135959703518257e-28         -3.434478321691853e-16        -8.278269686533293e-11        
0.5                           -358.387648809282             0.00317048669241022           0.0001989709799508244         -0.01105051726073388          0.00428890614348569           0.2323502020282121            0.4267511917514032            -19.86549128052518            -1.246703315825133            -1268.045463136385            
1                             -352.0959888241977            0.003302905083001927          0.0001741825417072338         0.0241588229246772            -0.03886750768985424          0.4326840823849073            0.3800055971644479            -20.14834094507178            -1.062546199595993            -2319.737177207445            
1.5                           -343.7476546226375            0.003278420770991731          2.696700020078272e-05         -0.04271288374740493          0.06843675478599896           0.6064918260579245            0.3294265445188903            -19.27857351461852            -0.1585779668658414           -3173.751489447185            
2                             -334.3828725535374            0.003150909224334731          0.0003678094048269006         0.05565614092477521           0.02348655408583951           0.758838041124933             0.2848336824123553            -17.75200555008494            -2.072212856924574            -3861.026989037688            
2.5                           -324.6054978084646            0.003378704437153409          -0.0004337854548805088        0.001304411794643588          -0.001232992675277189         0.8940372420892977            0.2583111755594423            -18.16607199236568            2.332307531412086             -4412.610224803328            
3                             -314.7890983942812            0.003621231526493055          0.000115969827234521          0.1425301144221787            -0.03426276595943858          1.015260310089289             0.2252791032202753            -18.53459524881163            -0.5935698404977797           -4854.226512109889            
3.5                           -305.0995209332093            0.003820940188545357          -0.0003436060718417255        0.07052403190515999           0.04743687253234158           1.12547441584913              0.2037864945887009            -18.58246290570142            1.671067007516748             -5208.262200940479            
4                             -295.5885228260785            0.004086579186740754          -0.0003875242457115335        0.07536854043045577           0.0302278192007386            1.227206276655883             0.2008524156142833            -18.8515662192354             1.787666077714449             -5492.299475784665            
4.5                           -286.3450247260703            0.004361852838662893          0.0001427996715528796         0.006946164767327339          0.04486984266033551           1.321594349011843             0.1700382896768266            -19.06042551486203            -0.6240060417511561           -5717.496465406442            
5                             -277.3226032098677            0.004848326960547745          -0.0002230809922615198        0.06621188738286939           -0.03198576115109601          1.410491866659357             0.1814742055182205            -20.03538388473599            0.921867142763074             -5894.623631160111            
5.5                           -268.5363183689168            0.005171966508296206          0.0002442419482944035         0.0518100602755627            -0.06019265350288921          1.494819143472953             0.1754269090943566            -20.17705375494996            -0.9528451047480986           -6030.896258348505            
6                             -259.9151416310085            0.004659954968421861          -0.0002108690721204689        -0.06184401675217729          -0.009865825483001389         1.576092158643686             0.1610924917584041            -17.12147610882204            0.7747692421620559            -6133.217409698154            
6.5                           -251.3790318231914            0.005966159429298102          9.358685816705263e-05         0.09352282175476506           -0.05984217257484023          1.655124939061825             0.1584387309901598            -20.58201359382892            -0.3228552734904793           -6203.124640591297            
7                             -242.9690126573261            0.00692319051794545           0.0003006493257637839         -0.07720729348697747          0.03284300734470055           1.732326854559535             0.1570566548147702            -22.35264179495555            -0.970695062570192            -6244.786366627312            
7.5                           -234.6590300747169            0.006579200723010033          5.6880488354045e-05           -0.05350535967365708          0.03557021017651774           1.808510115857817             0.153511814000233             -19.80200653720475            -0.1711982807582781           -6261.597924123878            
8                             -226.2965456602467            0.006909971240877513          0.000504781006522985          -0.01462793346323373          0.03570411024742789           1.884998134302628             0.1477851465652518            -19.27689301992689            -1.408198289990034            -6252.329451315301            
8.5                           -217.9141357633638            0.007463132304339257          -0.0007800477080447669        -0.03622758297941508          -0.009173977394486643         1.961900166837896             0.1488653069375228            -19.17409834680574            2.004079682174266             -6217.542727613851            
9                             -209.4516493803755            0.008387816271809139          0.0001445235660619298         0.02852229864683061           0.02531431931319973           2.040081943739077             0.1609876603050882            -19.68273912139655            -0.3391371160977969           -6156.453775121408            
9.5                           -200.8799739779383            0.009519884392208076          0.0004500572133622138         0.05438313076975934           -0.06051181746911108          2.120192170009714             0.1555755957784691            -20.19329831797914            -0.9546481766063453           -6067.751869721629            
10                            -192.1724461584172            0.009939514957020661          -0.0001714141260768824        -0.02116106372856795          -0.04091791401416426          2.203108706400027             0.1752895999581626            -18.80516587591092            0.3243087103617049            -5950.700775876514            
10.5                          -183.2417927603073            0.01161120855886344           0.0006603244820873707         0.01618607008732072           0.02719027008120323           2.289860157986707             0.189662884451045             -19.24162425493716            -1.094263149122332            -5798.75438420473             
11                            -174.0823255323325            0.01324134657668545           0.000354639460995169          0.06663379694823643           0.02210405008425538           2.381514813513861             0.1930501725041194            -18.75308843270622            -0.5022591183800229           -5609.578207211778            
11.5                          -164.674399881647             0.01648615153874648           -6.471637557712204e-05        0.0005841059265088614         0.08159241662132187           2.47896823243027              0.2064537215752115            -19.27399252251542            0.07566008126433654           -5374.797741518848            
